,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
6010,Harbor Court Hotel,within an hour,100%,95%,f,10.0,10.0,['phone'],t,Financial District,Private room,2,1.0,1.0,,,1,365,1.0,3.0,28.0,731.0,1.0,554.8,t,0,0,0,0,23,22,1,0,22,242,,4.78,5.0,5.0,4.89,4.78,5.0,4.56,t,9,0,9,0,1.82
6011,Harbor Court Hotel,within an hour,100%,95%,f,10.0,10.0,['phone'],t,Financial District,Private room,2,1.0,1.0,1.0,,1,365,1.0,1.0,28.0,731.0,1.0,638.8,t,2,15,42,51,1,1,0,51,1,11,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,9,0,9,0,0.09
6012,Harbor Court Hotel,within an hour,100%,95%,f,10.0,10.0,['phone'],t,Financial District,Private room,2,1.0,1.0,,,1,365,1.0,4.0,28.0,731.0,1.0,572.9,t,24,47,72,89,46,18,0,89,21,198,,4.89,4.91,4.96,4.89,4.85,4.39,4.76,t,9,0,9,0,2.7
6013,Harbor Court Hotel,within an hour,100%,95%,f,10.0,10.0,['phone'],t,Financial District,Private room,2,1.0,1.0,,,1,365,1.0,1.0,28.0,731.0,1.0,579.5,t,17,39,67,84,10,3,1,84,2,33,,5.0,4.8,5.0,4.7,4.8,4.9,4.8,t,9,0,9,0,0.16
6014,Harbor Court Hotel,within an hour,100%,95%,f,10.0,10.0,['phone'],t,Financial District,Private room,2,1.0,1.0,,$300.00,1,365,1.0,4.0,28.0,731.0,1.0,551.5,t,28,53,83,100,0,0,0,100,0,0,0.0,,,,,,,,t,9,0,9,0,
6015,Harbor Court Hotel,within an hour,100%,95%,f,10.0,10.0,['phone'],t,Financial District,Private room,2,1.0,1.0,,$211.00,1,365,1.0,1.0,28.0,731.0,1.0,545.0,t,28,55,85,102,17,17,2,102,14,187,39457.0,4.71,4.24,4.88,4.88,4.82,4.88,4.53,t,9,0,9,0,1.65
6016,Harbor Court Hotel,within an hour,100%,95%,f,10.0,10.0,['phone'],t,Financial District,Private room,2,1.0,1.0,1.0,$288.00,1,365,1.0,4.0,28.0,731.0,1.0,541.7,t,30,57,87,104,4,4,0,104,4,44,12672.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,9,0,9,0,0.57
6017,Harbor Court Hotel,within an hour,100%,95%,f,10.0,10.0,['phone'],t,Financial District,Private room,2,1.0,1.0,,$263.00,1,365,1.0,4.0,28.0,731.0,1.0,541.7,t,30,57,87,104,2,2,0,104,2,22,5786.0,4.0,4.0,4.5,4.5,4.5,4.5,4.0,t,9,0,9,0,0.17
6018,Randell,,,,f,1.0,1.0,"['email', 'phone']",f,Russian Hill,Entire home/apt,4,0.0,1.0,2.0,$498.00,5,5,5.0,5.0,5.0,5.0,5.0,5.0,t,0,0,0,5,0,0,0,0,0,0,0.0,,,,,,,,t,1,1,0,0,
6019,Tom,within a day,100%,70%,f,2.0,3.0,"['email', 'phone', 'work_email']",t,South of Market,Entire home/apt,2,1.0,1.0,1.0,$203.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,29,59,89,176,119,2,0,176,3,120,24360.0,4.63,4.8,4.64,4.81,4.88,4.02,4.58,f,1,1,0,0,0.86
